Role ID,Title,Description,Skills,Progress Paths,Education Requirements,Embedding,Metadata
64b1340fb8c6cc08ffa93214,Credit controller,Credit controllers help firms get the money they are owed from businesses and individuals.,"customer service skills, patience and the ability to remain calm in stressful situations, the ability to accept criticism and work well under pressure, to be thorough and pay attention to detail, ambition and a desire to succeed, administration skills, persistence and determination, excellent verbal communication skills, to be able to use a computer and the main software packages competently","With experience and professional qualifications, you could be promoted to credit manager.

You could also start your own collection agency or become a freelance collector.","['a college course', 'an apprenticeship', 'applying directly']",,{'requiredWeight': 0.5}
64b1340fb8c6cc08ffa93211,Accounting technician,Accounting technicians handle day-to-day money and finance tasks for all types of business.,"to be thorough and pay attention to detail, the ability to work well with others, administration skills, customer service skills, the ability to use your initiative, to be flexible and open to change, maths knowledge, excellent verbal communication skills, to be able to use a computer and the main software packages confidently","become a manager, become self-employed, work on accounts for small businesses, study to become a qualified accountant","['a college course', 'an apprenticeship', 'working towards this role', 'applying directly']",,{'requiredWeight': 0.6}
64b1340fb8c6cc08ffa93212,Auditor,Internal and external auditors check organisations' financial records and procedures to make sure they are accurate and efficient.,"knowledge of economics and accounting, maths knowledge, to be thorough and pay attention to detail, analytical thinking skills, the ability to accept criticism and work well under pressure, business management skills, customer service skills, excellent written communication skills, to be able to use a computer and the main software packages confidently","As an experienced external auditor, you could move into management and then become a partner or finance director. You could also set up your own accountancy practice.

As an experienced internal auditor, you could move into a management role. You could also become a chartered internal auditor, or become a self-employed consultant.","['a university course', 'an apprenticeship', 'applying directly', 'training with a professional body']",,{'requiredWeight': 0.8}
64b1340fb8c6cc08ffa93213,Bookkeeper,Bookkeepers keep financial records up to date and help prepare accounts.,"to be thorough and pay attention to detail, the ability to work well with others, administration skills, customer service skills, the ability to use your initiative, to be flexible and open to change, maths knowledge, excellent verbal communication skills, to be able to use a computer and the main software packages confidently","With experience and training, you could become an accounting technician and take on more complex work.

You could also become self-employed and set up your own business or teach in a further education college.","['a college course', 'an apprenticeship', 'working towards this role', 'applying directly']",,{'requiredWeight': 0.6}
64b1340fb8c6cc08ffa93215,Data entry clerk,"Data entry clerks type information into databases and systems and create letters, reports and other documents.","administration skills, to be thorough and pay attention to detail, the ability to work well with others, customer service skills, to be flexible and open to change, the ability to work on your own, patience and the ability to remain calm in stressful situations, the ability to work well with your hands, to be able to use a computer and the main software packages competently","Call centre operator, Data analyst-statistician, Admin assistant, Telephonist, Bookkeeper, ","['a college course', 'an apprenticeship', 'working towards this role', 'applying directly']",,{'requiredWeight': 0.3}
64b1340fb8c6cc08ffa93217,Payroll administrator,Payroll administrators make sure employees get paid the right amount on the right date.,"to be thorough and pay attention to detail, administration skills, the ability to work well with others, sensitivity and understanding, the ability to work on your own, maths knowledge, patience and the ability to remain calm in stressful situations, knowledge of English language, to be able to use a computer and the main software packages competently, ","With experience, you could progress to payroll supervisor or manager.","['a college course', 'an apprenticeship', 'applying directly', 'a specialist course run by a professional body', '']",,{'requiredWeight': 0.5}
64b1340fb8c6cc08ffa93216,Finance officer,Finance officers help to manage the finances of an organisation by keeping track of its income and controlling its spending.,"knowledge of economics and accounting, business management skills, maths knowledge, analytical thinking skills, financial management skills, leadership skills, the ability to use your initiative, to be thorough and pay attention to detail, to be able to use a computer and the main software packages competently","With experience, you could become a senior finance officer, finance manager or train to be an accountant.","['a university course', 'a college course', 'an apprenticeship', 'working towards this role', 'applying directly']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa93226,Diplomatic Service officer,"Diplomatic Service officers help to promote and protect British interests, businesses and citizens overseas.","administration skills, to be thorough and pay attention to detail, the ability to work well with others, to be flexible and open to change, sensitivity and understanding, patience and the ability to remain calm in stressful situations, knowledge of English language, excellent verbal communication skills, to be able to use a computer and the main software packages competently","You'll have access to a wide range of Civil Service training, designed to prepare you for your first overseas posting. This includes foreign language training.

You'll be encouraged to identify your own training needs as part of an appraisal and staff development programme.

After 2 years, you can apply to join the Fast Stream programme if your manager thinks you have the potential for senior management.","['a university course', 'working towards this role', 'applying directly', 'a graduate training scheme']",,{'requiredWeight': 0.7}
64b13426b8c6cc08ffa9323a,Post Office customer service assistant,Post Office customer service assistants help customers in post offices and at counters in shops.,"customer service skills, excellent verbal communication skills, the ability to work well with others, persuading and negotiating skills, to be thorough and pay attention to detail, the ability to sell products and services, good maths skills, active listening skills, to be able to use a computer and the main software packages competently, ","With experience you could progress to a position in a larger branch, or become an assistant branch manager or branch manager.

You could open up your own Post Office franchise.","['a college course', 'an apprenticeship', 'applying directly', '']",,{'requiredWeight': 0.4}
64b13426b8c6cc08ffa9323d,Quality control assistant,Quality control assistants check that a company's services or products meet necessary standards.,"the ability to analyse quality or performance, to be thorough and pay attention to detail, the ability to work well with others, excellent verbal communication skills, to be flexible and open to change, patience and the ability to remain calm in stressful situations, the ability to monitor your own performance and that of your colleagues, active listening skills, to be able to use a computer and the main software packages competently, ",With experience and training you could become a manager or move into research jobs.,"['a university course', 'an apprenticeship', 'specialist courses run by professional bodies', '']",,{'requiredWeight': 0.7}
64b13426b8c6cc08ffa93236,Local government revenues officer,"Revenues and benefits officers work for local councils and deal with housing benefits, rents, council tax and business rates.","administration skills, to be thorough and pay attention to detail, the ability to work well with others, the ability to work on your own, business management skills, to be flexible and open to change, excellent verbal communication skills, customer service skills, to be able to use a computer and the main software packages confidently, ","With experience and qualifications you could progress into senior roles, including fraud investigations, property valuation or management.","['a university course', 'a college course', 'an apprenticeship', 'working towards this role', 'applying directly', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa93223,Charity fundraiser,Charity fundraisers organise events and activities to encourage people to donate to causes and organisations.,"customer service skills, persistence and determination, the ability to use your initiative, to be thorough and pay attention to detail, the ability to work well with others, sensitivity and understanding, knowledge of English language, business management skills, to be able to use a computer and the main software packages competently","With experience, you could move into charity management, become a charity director or a self-employed fundraising consultant.","['a university course', 'an apprenticeship', 'working towards this role', 'volunteering', 'applying directly', 'specialist courses run by a professional body']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa9323b,Proofreader,Proofreaders check text before it's printed or published to make sure it's correct and complete.,"to be thorough and pay attention to detail, knowledge of English language, excellent verbal communication skills, the ability to use your initiative, the ability to work well with others, excellent written communication skills, persistence and determination, to be flexible and open to change, to be able to use a computer and the main software packages competently, ","As an experienced proofreader, you could build up your reputation as a specialist in a particular field or approach publishing companies for work.","['a university course', 'an apprenticeship', 'working towards this role', 'specialist courses run by professional bodies and private training organisations', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa9324a,Town planning assistant,"Town planning assistants process applications, give advice about regulations and carry out design work and office administration.","knowledge of geography, the ability to work well with others, analytical thinking skills, excellent verbal communication skills, customer service skills, business management skills, legal knowledge including court procedures and government regulations, maths skills, to be able to use a computer and the main software packages confidently, ","With experience, you could progress to team leader or move up to technician level. With further study, you could become a fully qualified town planner.

You could also set up your own business and offer consultancy in areas like planning law and sustainable design.","['a university course', 'a college course', 'an apprenticeship', 'applying directly', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa93221,Border Force officer,"Border Force officers protect UK border entry points like ports and airports, by enforcing immigration and customs regulations.","knowledge of public safety and security, patience and the ability to remain calm in stressful situations, the ability to accept criticism and work well under pressure, excellent verbal communication skills, the ability to think clearly using logic and reasoning, the ability to work well with others, knowledge of English language, customer service skills, to be able to carry out basic tasks on a computer or hand-held device","You could become a team leader, or move into a management position. You could also use your skills to train and work with new staff.","['a college course', 'an apprenticeship', 'working your way up', 'applying directly', 'a graduate training scheme']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa93243,School business manager,School business managers oversee the efficient day-to-day running of a school and support the headteacher and leadership team.,"leadership skills, business management skills, customer service skills, the ability to work well with others, to be flexible and open to change, maths and financial skills, the ability to accept criticism and work well under pressure, knowledge of human resources and employment law, to be able to use a computer and the main software packages confidently, ","You could develop your career by moving to a larger school or college with a bigger budget. You could also move into financial or educational management with a local authority, or use your skills to work for an organisation like the NHS.","['a university course', 'an apprenticeship', 'working towards this role', 'applying directly', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa93244,School secretary,School secretaries provide administrative support in schools.,"administration skills, to be thorough and pay attention to detail, the ability to work well with others, the ability to work on your own, sensitivity and understanding, to be flexible and open to change, excellent verbal communication skills, customer service skills, to be able to use a computer and the main software packages confidently, ","With experience, you could progress to school business manager, or personal assistant (PA) to the headteacher.","['a college course', 'working towards this role', 'applying directly', '']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa93222,Car rental agent,Car rental agents hire out vehicles to businesses and the public.,"customer service skills, to be thorough and pay attention to detail, to enjoy working with other people, patience and the ability to remain calm in stressful situations, excellent verbal communication skills, administration skills, the ability to sell products and services, active listening skills, to be able to use a computer and the main software packages competently","With experience in business leasing accounts, you could become an account manager or move into fleet management.","['a college course', 'an apprenticeship', 'applying directly']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa9321a,Admin assistant,"Admin assistants give support to businesses by organising meetings, typing documents and updating computer records.","administration skills, to be thorough and pay attention to detail, the ability to work well with others, the ability to work on your own, sensitivity and understanding, to be flexible and open to change, excellent verbal communication skills, customer service skills, to be able to use a computer and the main software packages competently","With experience, you could progress from admin assistant to supervisor or office manager. You could also move into other departments, like IT, payroll or accounting., With further training, you could specialise in an area like legal, financial or medical administration, become a personal assistant or executive officer.","['a college course', 'an apprenticeship', 'working towards this role', 'applying directly']",,{'requiredWeight': 0.4}
64b13426b8c6cc08ffa93225,Civil Service executive officer,Civil Service executive officers work in government departments that develop policies and provide services to the public.,"customer service skills, administration skills, patience and the ability to remain calm in stressful situations, the ability to accept criticism and work well under pressure, business management skills, to be thorough and pay attention to detail, the ability to work well with others, the ability to use your initiative, to be able to use a computer and the main software packages competently",,"['a university course', 'an apprenticeship', 'working towards this role', 'applying directly', 'a graduate training scheme']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa93228,Farm secretary,Farm secretaries are responsible for the day-to-day running of the business side of farms.,"administration skills, to be thorough and pay attention to detail, the ability to work well with others, the ability to work on your own, sensitivity and understanding, to be flexible and open to change, excellent verbal communication skills, customer service skills, to be able to use a computer and the main software packages competently","With experience, you could become a farm manager.

You could also move into other types of rural business, like stables or countryside management, or use your business and administrative skills in other industries.","['a college course', 'an apprenticeship', 'applying directly', 'training with a professional body']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa93231,Insurance broker,"Insurance brokers use their knowledge of the insurance market to help find the right cover, at the best price, for their customers.","customer service skills, the ability to sell products and services, to be thorough and pay attention to detail, the ability to use your initiative, persistence and determination, patience and the ability to remain calm in stressful situations, excellent verbal communication skills, maths knowledge, to be able to use a computer and the main software packages confidently, ","With experience, you could move into account handling, claims broking or a business development role.

You could specialise in an area of insurance, progress into management, or move into other types of insurance work, like loss adjusting, underwriting or compliance.","['a university course', 'an apprenticeship', 'working towards the role', 'a graduate training scheme', '']",,{'requiredWeight': 0.6}
